key,display_name,owner_first_name,owner_last_name,owner_email,owner_mobile,min_berths,max_berths,assistance_required,rank,berths,history
boat1,Boat 1,A,F,owner@example.com,613 555 1212,2,3,No,0;0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",
boat2,Boat 2,B,F,owner@example.com,613 555 1212,2,4,No,0;0,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",
boat3,Boat 3,C,F,owner@example.com,613 555 1212,2,3,No,0;0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",
boat4,Boat 4,D,F,owner@example.com,613 555 1212,1,3,No,0;0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",
boat5,Boat 5,E,F,owner@example.com,613 555 1212,1,3,No,0;0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",
boat6,Boat 6,F,F,owner@example.com,613 555 1212,1,5,Yes,0;0,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",
boat7,Boat 7,G,F,owner@example.com,613 555 1212,1,2,No,0;0,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",
boat8,Boat 8,H,F,owner@example.com,613 555 1212,1,3,Yes,0;0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",
boat9,Boat 9,I,F,owner@example.com,613 555 1212,1,2,No,0;0,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",
boat10,Boat 10,J,F,owner@example.com,613 555 1212,1,4,No,0;0,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",
boat11,Boat 11,K,F,owner@example.com,613 555 1212,1,2,No,0;0,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",
boat12,Boat 12,L,F,owner@example.com,613 555 1212,2,3,Yes,0;0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",
boat13,Boat 13,M,F,owner@example.com,613 555 1212,1,2,No,0;0,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",
boat14,Boat 14,N,F,owner@example.com,613 555 1212,3,4,No,0;0,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",
