key,display_name,first_name,last_name,partner_key,email,membership_number,rank,skill,experience,available,history,whitelist
aa,AA,A,A,,example@example.com,111-222,1;0;0;0,1,Various,N;N;Y;N;Y;Y;N;N;Y;N;N;Y;N;Y;Y;Y;N;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ba,BA,B,A,,example@example.com,111-222,1;0;0;0,0,Various,Y;Y;Y;Y;Y;Y;N;Y;N;N;Y;N;Y;Y;N;Y;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ca,CA,C,A,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;N;N;N;Y;N;Y;Y;N;N;Y;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
da,DA,D,A,ca,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;Y;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ea,EA,E,A,,example@example.com,111-222,1;0;0;0,2,Various,N;Y;Y;N;N;Y;N;Y;Y;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
fa,FA,F,A,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;Y;Y;Y;Y;N;N;N;N;Y;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ga,GA,G,A,,example@example.com,111-222,1;0;0;0,1,Various,N;Y;Y;N;N;Y;N;Y;Y;N;N;N;N;N;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ha,HA,H,A,,example@example.com,111-222,1;0;0;0,0,Various,N;Y;Y;N;N;N;N;N;Y;N;N;Y;N;Y;Y;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ia,IA,I,A,,example@example.com,111-222,1;0;0;0,2,Various,N;Y;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ja,JA,J,A,,example@example.com,111-222,1;1;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
