key,display_name,first_name,last_name,partner_key,email,mobile,social_preference,membership_number,rank,skill,experience,available,history,whitelist
cny01,Cny01,CNY0,1,,a@example.com,,No,,2;1;0;0,0,,3;3;2;3;3;0;2;2;2;2;2;2;2;2;2;2;2;2,b_2y1;b_3n1;;b_3n1;b_2n1;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cnn11,Cnn11,CNN1,1,,a@example.com,,No,1111,2;1;0;0,0,,3;3;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2,b_4y1;b_2n1;b_3n1;;b_3n1;b_3n1;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cyn01,Cyn01,CYN0,1,cyn21,a@example.com,,No,,2;1;0;0,0,,3;3;2;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2,b_4y1;b_3n1;;;b_4y1;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cyn21,Cyn21,CYN2,1,,a@example.com,,No,,2;1;0;0,2,,3;3;3;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2,b_2n1;b_3n1;b_3n1;;b_2n1;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cyn22,Cyn22,Cyn2,2,,a@example.com,,No,11111,2;1;0;0,2,,3;3;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2,b_3n1;b_2n1;b_3n1;;;b_4y1;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cnn12,Cnn12,Cnn1,2,,a@example.com,,No,,2;1;0;0,1,,3;3;3;3;2;0;2;2;2;2;2;2;2;2;2;2;2;2,b_2y2;b_4y1;b_2n1;b_3n1;;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cny11,Cny11,Cny1,1,,a@example.com,,No,1111,2;1;0;0,1,,3;3;3;3;3;0;2;2;2;2;2;2;2;2;2;2;2;2,b_3n2;b_4y1;b_4y1;b_2n1;b_3n1;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cnn01,Cnn01,Cnn0,1,,a@example.com,,No,,2;1;0;0,0,,3;3;3;3;2;0;2;2;2;2;2;2;2;2;2;2;2;2,b_3n2;b_4y1;b_2n1;b_3n1;;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cny02,Cny02,Cny0,2,,a@example.com,,No,1111,2;1;0;0,0,,0;3;3;3;2;0;2;2;2;2;2;2;2;2;2;2;2;2,;b_4y1;b_4y1;b_2n1;;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cny03,Cny03,Cny0,3,,a@example.com,,No,11111,2;1;0;0,0,,0;2;3;0;3;0;2;2;2;2;2;2;2;2;2;2;2;2,;;b_4y1;;b_3n2;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
