key,first_name,last_name,partner_key,email_address,membership_number,skill,experience,whitelist
aa,A,A,,example@example.com,123-456,1,2024 - present		Advantage Boating+u2028			Coastal Navigation BASIC – Sail Canada+u2028			Ottawa+u002C Ontario+u002C Canada+u2028+u20282024			Capt. Mac’s School of Seamanship+u2028			Mileage Builder and Coastal Navigation practical+u2028			New Westminster+u002C British Columbia+u002C Canada+u2028+u20282023			Ontario Sailing +u2028Assistant Race Officer Certification+u2028Hamilton+u002C Ontario+u002C Canada+u2028+u20282022			Advantage Boating+u2028			VHF-ROC(M) Certification # 8026770+u2028			Ottawa+u002C Ontario+u002C Canada+u2028+u20282021			Advantage Boating+u2028			Basic Cruising Standard - Skipper+u2028			Ottawa+u002C Ontario+u002C Canada+u2028+u20282021			Advantage Boating+u2028			Basic Cruising Standard - Crew+u2028			Ottawa+u002C Ontario+u002C Canada+u2028+u20282016			Boater Exam Transport Canada+u2028			Pleasure Craft Operator Card (PCOC) # 306049242+u2028			Ottawa+u002C Ontario+u002C Canada+u2028Sailing Experience						effective to 07Sep2024+u2028•	On water course work	102 hours+u2028•	Recreational		348 hours+u2028•	Total			450 hours+u2028+u2028Relevant Licenses and Certifications	+u2028•	Registered Nurse (RN) Ontario (current) [Nebraska+u002C US Virgin Islands lapsed]+u2028•	Certified Clinical Research Professional (CCRP)+u2028•	Heart and Stroke Foundation CPR “C” – HCP+u2028•	St John’s Ambulance Standard First Aid with CPR “C”+u2028,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ba,B,A,,example@example.com,123-456,0,I sailed in the past as a crew member on a Tanzer 7.5+u002C but it's been many years so I'd consider myself to being new to sailing.  I took Whitesail 1+u002C but again that was about 15 years ago.  I'm terrible at maneuvering a boat into the dock. I'm considering becoming a member and potentially buying a boat+u002C so I thought that this would be a good starting point.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ca,C,A,,example@example.com,123-456,1,New to sailing+u002C wanting to sail and gain experience and confidence and have fun. Took AB Basic Keel boat cruising course in June 2024.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
da,D,A,ca,example@example.com,123-456,1,"Novice sailor. Took Advantage Boating ""Basic Keelboat Cruising"" course in 2023.  I recently bought a Tanzer 22.  I am looking to improve my sailing skills and gain confidence in a fun+u002C social manner.",cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ea,E,A,,example@example.com,123-456,2,Have done Intermediate Cruising course. Don’t own a sailboat. Doing Sail Share this year. I need more practice and time on water!,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
fa,F,A,,example@example.com,123-456,1,I did the basic course with Advantage Boating,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ga,G,A,,example@example.com,123-456,1,Took Basic Sailing course 4 years ago+u2028Casual sailing as crew. Sailed on a cat for a week as crew for Tim in BVI in 2024.,valkyrie;australis;shawanaga;xelha;astraeus;veledaiii;pretender;brisa;tonguç;fixen;tropicalquest
ha,H,A,,example@example.com,123-456,0,New sailor ,valkyrie;shawanaga;xelha;astraeus;veledaiii;pretender;brisa;fixen;tropicalquest
ia,I,A,,example@example.com,123-456,2,Sailed when I was a kid. Took it up again about 15 years ago. Coaches to race by Phil Wilcox. Raced in Women’s and Thursday night JAM racing. Chartered in the North Channel of Georgian Bay for about 8 years.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ja,J,A,,example@example.com,123-456,1,Basic Cruising Course in Antigua - Winter 2024+u2028Social Sailing - Summer 2024+u2028BVI Flotilla - April 2025,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
